observation_date,EXCHUS
2006-10-01,7.8620
2007-01-01,7.7582
2007-04-01,7.6784
2007-07-01,7.5567
2007-10-01,7.4304
2008-01-01,7.1590
2008-04-01,6.9572
2008-07-01,6.8375
2008-10-01,6.8393
2009-01-01,6.8361
2009-04-01,6.8292
2009-07-01,6.8306
2009-10-01,6.8271
2010-01-01,6.8272
2010-04-01,6.8238
2010-07-01,6.7677
2010-10-01,6.6571
2011-01-01,6.5790
2011-04-01,6.4990
2011-07-01,6.4165
2011-10-01,6.3585
2012-01-01,6.3098
2012-04-01,6.3306
2012-07-01,6.3503
2012-10-01,6.2431
2013-01-01,6.2231
2013-04-01,6.1540
2013-07-01,6.1251
2013-10-01,6.0900
2014-01-01,6.1018
2014-04-01,6.2311
2014-07-01,6.1636
2014-10-01,6.1462
2015-01-01,6.2362
2015-04-01,6.2032
2015-07-01,6.3048
2015-10-01,6.3879
2016-01-01,6.5418
2016-04-01,6.5302
2016-07-01,6.6646
2016-10-01,6.8301
