observation_date,GDP
2006-10-01,14039.560
2007-01-01,14215.651
2007-04-01,14402.082
2007-07-01,14564.117
2007-10-01,14715.058
2008-01-01,14706.538
2008-04-01,14865.701
2008-07-01,14898.999
2008-10-01,14608.209
2009-01-01,14430.902
2009-04-01,14381.236
2009-07-01,14448.882
2009-10-01,14651.249
2010-01-01,14764.610
2010-04-01,14980.193
2010-07-01,15141.607
2010-10-01,15309.474
2011-01-01,15351.448
2011-04-01,15557.539
2011-07-01,15647.680
2011-10-01,15842.259
2012-01-01,16068.805
2012-04-01,16207.115
2012-07-01,16319.541
2012-10-01,16420.419
2013-01-01,16648.189
2013-04-01,16728.687
2013-07-01,16953.838
2013-10-01,17192.019
2014-01-01,17197.738
2014-04-01,17518.508
2014-07-01,17804.228
2014-10-01,17912.079
2015-01-01,18063.529
2015-04-01,18279.784
2015-07-01,18401.626
2015-10-01,18435.137
2016-01-01,18525.933
2016-04-01,18711.702
2016-07-01,18892.639
2016-10-01,19089.379
