observation_date,GFDEBTN
2006-10-01,8680224
2007-01-01,8849665
2007-04-01,8867677
2007-07-01,9007653
2007-10-01,9229172
2008-01-01,9437594
2008-04-01,9492006
2008-07-01,10024725
2008-10-01,10699805
2009-01-01,11126941
2009-04-01,11545275
2009-07-01,11909828
2009-10-01,12311349
2010-01-01,12773123
2010-04-01,13201792
2010-07-01,13561622
2010-10-01,14025215
2011-01-01,14270114
2011-04-01,14343087
2011-07-01,14790340
2011-10-01,15222940
2012-01-01,15606518
2012-04-01,15855037
2012-07-01,16066240
2012-10-01,16432730
2013-01-01,16771381
2013-04-01,16738320
2013-07-01,16738180
2013-10-01,17156119
2014-01-01,17601227
2014-04-01,17632606
2014-07-01,17824071
2014-10-01,18141444
2015-01-01,18152056
2015-04-01,18151998
2015-07-01,18150618
2015-10-01,18922179
2016-01-01,19264939
2016-04-01,19381591
2016-07-01,19573445
2016-10-01,19976827
